No,Control Short,Duration,To Do,Evidence,Assigned to
1,Update all the policy into keka and get acknowledgement from the employees.,Annually,Update all the policy into keka and get acknowledgement from the employees.,All policy in keka,
2,Code of Conduct,,"It will be verified, whether it is in place or not.",Employee handbook and acknowledged employee handbook,Preeja
3,Signed NDA,Monthly,"New employees are expected to sign NDA before joining. It will be verified based on the new employees list, ask any one of the employee's NDA agreement.","appointment letter, new joiners list from keka, consultant agreement",Preeja
4,Acceptable Use policy,Annually,Employee's expected to acknowledge AUP policy during the onboarding process.,Acknowledged Acceptable use policy list,Preeja
5,Complaints and Feedback,,"Employee's will share their complaints and feedback through keka, and clients will share it through mail",,Preeja
6,MRM_CISO Meetings,Quarterly,"A MRM meeting has to be held headed by CEO to discuss the security level, changes, technology trends, occurrence of incidents, and security initiatives (06 months once)","Security review meeting invite, DAST pdf",Monisa
7,Business meetings,weekly,Business meetings has to be recorded in terms of invite and minutes on a routine basis (per week once minimum),BA meeting email snapshot,Preeja
8,Organisation Charts,Monthly,"Charts need to be updated, once any new employee joined.(based on the employee role). These charts are expected to communicate with the employees as well (Keka)","Org chart document snapshot, Organisation chart from keka",Preeja
9,ISMS Policy,Annually,Its need to be update annually or when relevant. Need to get approval if changes were made in the policy.,,Preeja
10,CISO Responsibilities,,Inspected CISO responsibilities to determine that Information Security activities are included.,"Org chart document snapshot, CISO job description",Preeja
11,Key roles and responsibilities,Monthly,"Based on organization chart, job descriptions for all critical functions willl be validated whether the responsibilities, reporting lines and communication mechanism are clearly defined.","Org chart document snapshot, Full Stack python jd, aws certified engineer- jd, oscp- jd",Preeja
12,HR Policies,Annually,"It will be verified, whether it is documented or not.","Snapshot of attached policies in keka, employee handbook",Preeja
13,JD in place,Monthly,a sample of job description to determined that requirements for each role are documented and are evaluated as part of the hiring process.,"New joiner lists from keka, aws certified engineer -jd, full stack python developer jd, Mobile application developer-flutter JD, Senior React.js Front-end developer, oscp jd",Preeja
14,Offer letter & Appointment letter,Monthly,New employees appointment letter - signed has to be collected and maintained.,"New joiners lists from keka, appointment letter",Preeja
15,Manpower planning,Monthly,Meetings has to be conducted periodically for planning the resources. (Meeting minutes & invite),Team Review discussion - meet invite,Monisa
16,External BGV,Monthly,New joiners BGV reports will be verified.,"New joiner lists from keka, BGV initiation email, BGV evidence tracker, BGV report",Preeja
17,New Hire Functional Training,Monthly,"Attendance log for training, resource document or pdf, periodic training calendar.","New joiner lists from keka, HR induction session pdf, attendance log of training",Preeja
18,ISMS Training,Monthly,"Attendance log for training, resource document or pdf, periodic training calendar.","New joiner lists from keka, Training video, HR induction session pdf, periodic training calendar, attendance log(form response)",Preeja
